,image_id,acevedo_label,fold,labels
80,cd37d73b-e348-46b9-b86b-8fb08fc4c057,monocyte,train,MO
82,4e70622f-ae0e-4e16-a450-9f5e65bf470a,eosinophil,train,EO
86,fc63bf47-9373-4a48-8050-adfa94a5b7de,eosinophil,train,EO
87,fc1b3cb2-142b-45c9-a168-8bf944480cfd,eosinophil,train,EO
96,4dfadbd3-9794-4297-952d-51e58ce7acfc,eosinophil,train,EO
101,32cf64ab-6e04-4304-bf13-0a8d4fc0f4e2,eosinophil,train,EO
106,a51111e3-8b2c-4e8f-a304-06e2f44e54d3,basophil,train,BA
107,d96f3198-efa2-4af2-aa5b-6c1df1408765,monocyte,train,MO
108,74410a24-01b7-47b7-a8d7-b619940d5089,eosinophil,train,EO
111,3a9d68d1-5ff7-4a71-a0cf-a3ea4481c5aa,eosinophil,train,EO
112,fad1e3ae-c43d-4e6f-a58e-ffa7669fd6f5,eosinophil,train,EO
115,40debca4-9ae7-4d0e-a785-c1d3fde9d5cd,eosinophil,train,EO
117,00528f00-4188-4814-b123-6f52b6ffb629,basophil,train,BA
118,2f3b8eb5-3db6-4d0e-b86a-24b49a7fbdbd,basophil,train,BA
120,a58a99e0-b8a3-4428-9949-1b1facd15c69,monocyte,train,MO
122,95603ffb-b593-4f5f-a3c9-600d06270928,basophil,train,BA
123,7e55e4b0-9973-4bdc-a30b-aac5da1d3c3b,monocyte,train,MO
124,ec40679f-19c9-4290-8e02-4f8386021f09,eosinophil,train,EO
125,51ac8812-a4ff-4b87-87fe-16a57fbfb10c,eosinophil,train,EO
127,594dd9e5-44e5-4278-9275-22738e351737,basophil,train,BA
131,1b1465ba-9c5f-4e8e-907e-9211439ec404,monocyte,train,MO
134,90ae71e9-393d-44ee-8620-8aff7dfad759,eosinophil,train,EO
135,71bbdc3d-1450-4a01-9808-f705cf644bd0,basophil,train,BA
137,6f3f1f04-a1f6-4df2-9351-aa811561a7b0,basophil,train,BA
140,e0329a45-6b23-4764-a1d2-ee748c1766a9,basophil,train,BA
142,fe9ec24c-4ba9-42cb-871f-3d77f590d01e,monocyte,train,MO
145,2cbb2b5f-e526-41ba-a360-e8d290142a79,monocyte,train,MO
148,5973d745-9130-4054-8af0-33e47882bda4,basophil,train,BA
153,abdecfeb-208f-4c67-9f2c-b5d21d20bfda,monocyte,train,MO
155,1c99b19b-74cc-47a2-9ed9-7c1f6fc14e51,monocyte,train,MO
156,125336ad-19a3-4725-8229-c6c5278acd27,eosinophil,train,EO
157,0ef434c8-894a-4357-ac61-d795ba565052,basophil,train,BA
160,d5e928d1-316e-4f77-9171-0e91197077c3,basophil,train,BA
162,1e1ca040-17ef-4fbd-b608-65d949a3c44f,eosinophil,train,EO
166,7fcf59fb-7c0e-40ae-8d7e-8b7a6c729a04,eosinophil,train,EO
171,272364e0-138c-4985-8ad9-7180f60877da,eosinophil,train,EO
181,74e43c96-a493-46cb-87ca-8fd2d9532aa8,monocyte,train,MO
184,cd5c63bd-69af-4745-8f51-ed49dea5a004,monocyte,train,MO
186,6cbd10eb-87d8-4127-a7fa-725c4c9cd043,monocyte,train,MO
187,1f7123d3-503d-4f06-b671-433562c70a8b,monocyte,train,MO
190,395df06a-8e20-4d1b-8660-841e3ccd213c,eosinophil,train,EO
191,4d385158-fe44-4309-afc2-c8cd1052a8a4,basophil,train,BA
192,9e758ecf-810e-41ab-a0c2-572f6c8f6c8a,eosinophil,train,EO
207,3f505e2d-11a8-4c9f-8fb6-039d6f6d473d,monocyte,train,MO
211,7811dd7b-f07a-426c-a2f1-1787ddde952e,monocyte,train,MO
212,f7efa63c-37f4-4d7a-8c00-4c57a2b07cea,eosinophil,train,EO
213,534dc482-fba9-46bc-b01d-4875a884ca60,monocyte,train,MO
215,6faf1b39-1c3f-4925-bc72-21f0d5ec89ae,eosinophil,train,EO
218,2ed59049-df59-4cab-bfaa-220285b5f2ad,basophil,train,BA
219,3c850824-8b78-4756-9460-bbee6768fe3b,eosinophil,train,EO
221,37c003bf-8338-41af-9ee2-bf6d23eb0e0a,basophil,train,BA
222,6bf0fa3e-f92e-47bb-bf58-e7f1fc2f8db3,monocyte,train,MO
223,536709ce-8e3d-46a7-a136-1826ae1c20a3,basophil,train,BA
225,eb1be043-1ecc-4d00-aff8-d13b37c8254e,eosinophil,train,EO
226,944d72ba-c262-46d3-93fc-71d246325386,eosinophil,train,EO
229,acae4ad2-af63-4d03-9fe9-288529ffd05b,monocyte,train,MO
230,eff059e0-9421-4fc8-8a23-3a0f99ec4bc4,basophil,train,BA
232,d002954e-af85-40c0-ba21-892cc651ee4d,eosinophil,train,EO
234,21e81339-8c85-4d3c-b729-9803d1a65cfe,eosinophil,train,EO
243,04dc0960-5322-419e-a93c-627409b20e48,basophil,train,BA
245,05d0aa29-f28b-4139-8150-317d84984b0d,eosinophil,train,EO
248,75be8e6c-d1de-4e58-9169-3b5230b0354f,eosinophil,train,EO
251,4c043264-46f8-4584-ac6c-e2bb5ad4a0e6,eosinophil,train,EO
254,33000d3a-f2c8-402c-aec9-c01af3f4ea81,monocyte,train,MO
257,a38891f8-0eb0-400c-850c-e5ee45212849,eosinophil,train,EO
260,7ba5ea24-a026-4360-8b6f-aab9997e1838,monocyte,train,MO
261,e3e45b2b-b76c-4904-8739-ca3930084877,monocyte,train,MO
267,0b43797a-23db-42b9-bb21-bf4c23fe2212,eosinophil,train,EO
271,b78211db-53a9-40b8-9691-42af9bbb2d6e,eosinophil,train,EO
277,1ad4c8a7-16ec-49cc-8a58-a3dc51bbb5aa,eosinophil,train,EO
278,4a9c0c49-df02-4a2c-af94-2de0a9c45426,eosinophil,train,EO
280,b7f433de-2a23-4040-a06d-0e87ad45aed9,monocyte,train,MO
281,e3f6cdcc-2eb7-4114-8edd-a68d3d489e4a,monocyte,train,MO
284,5d141e53-4f5d-4a52-9d29-0ab5aee01df2,eosinophil,train,EO
286,0a7dd257-c988-40f1-be72-ceb3858ca77f,eosinophil,train,EO
288,28a30430-e549-4eca-9b70-571e496630d8,basophil,train,BA
290,caeddb05-af0c-472c-a5a7-8085179b6b3e,eosinophil,train,EO
291,f3971c33-c6e9-4c3b-9c09-d7b9ae0c5fc0,basophil,train,BA
294,30f149b1-f938-46f8-a7a1-fe6c17cb206b,eosinophil,train,EO
299,10dc151d-2c2e-4821-9e86-54c820d144d4,monocyte,train,MO
300,6f24c6b2-c619-49d8-aa7f-71952ec2fb5a,monocyte,train,MO
302,8448ad72-cc58-4d9e-a0b2-eb1918b252a3,monocyte,train,MO
304,81439ed8-ad61-4753-8af2-5190e29dceb8,eosinophil,train,EO
305,a0b389df-1538-4733-93fa-3c05a3b94da3,eosinophil,train,EO
307,00491b26-34a0-4799-8f25-f1244bfc5e71,eosinophil,train,EO
310,48181596-e58b-42ca-a7af-47d7094851b8,eosinophil,train,EO
314,fa5dcb10-a6b3-4c39-ac8c-69b55c4fa4a8,monocyte,train,MO
318,fd905595-de0e-4bad-8e6c-b2181b927b4b,eosinophil,train,EO
319,a127bdc3-69d3-406a-ab7f-beb094d51572,basophil,train,BA
325,2183aab3-241c-461a-9b03-0eb38ff70815,monocyte,train,MO
328,97b5125c-889a-46d6-9998-38c30a7a6ff6,basophil,train,BA
329,96dc8573-6a44-4360-9945-823061e2bac4,monocyte,train,MO
335,ee689f90-1d25-4303-b255-779ddd721097,eosinophil,train,EO
338,01ac9536-d1b1-4ac2-bd11-ba5d4087bc43,monocyte,train,MO
341,ebaa5737-f6b0-4d5e-9e58-9e4d8a49dc74,eosinophil,train,EO
344,01d312d5-3439-4864-bfe3-ed13c45303e9,eosinophil,train,EO
345,6d65595d-1b35-4ae2-a047-977282f22406,eosinophil,train,EO
354,a5adc737-e7a8-4b53-994b-61e7a70637ae,eosinophil,train,EO
358,b75f85a7-4ea9-4efb-ac91-9c7250ec2c7d,eosinophil,train,EO
360,c85f5194-1584-408f-b55e-fe56c0f1c593,monocyte,train,MO
362,49292b11-50c6-42ac-954d-f42e4cfd0a11,eosinophil,train,EO
364,f58a1d3d-7931-499c-a793-d1dc09eb793a,monocyte,train,MO
371,2567a652-9028-46f1-9b80-0e14865f577c,eosinophil,train,EO
372,cce87806-c14e-42a5-b7f5-1db4a80dde96,basophil,train,BA
374,350c2d36-4311-4221-9aa5-267a6f1c4652,eosinophil,train,EO
375,0865358d-3447-4c73-b35f-cba25dcc2c08,monocyte,train,MO
376,d42bb396-30c8-491e-ad00-a031c37d7ab4,basophil,train,BA
377,772e63e9-4e4e-45de-925b-cc3bb2454f66,monocyte,train,MO
378,c58cfe73-785a-49c8-b329-cd2d3520b4ff,eosinophil,train,EO
380,66810f27-154e-499c-878d-b311396daddf,eosinophil,train,EO
381,f10e4995-054f-4501-b51a-bf0708681e8b,monocyte,train,MO
383,95df8a85-24af-4f35-bd99-6a4e22d6e64c,eosinophil,train,EO
384,b279b8d1-4920-48b3-9a78-c4a2d67948e1,eosinophil,train,EO
385,504f5adb-fe17-4458-9063-c0b0bcdf28af,eosinophil,train,EO
387,f5e4468c-8689-4d6c-b3b8-cb54e09ad3e9,basophil,train,BA
392,1c91bf68-3c3d-4fc8-b507-9c5c2497548d,eosinophil,train,EO
396,88d21bb7-c72c-4d90-b383-82c5fd4c9543,basophil,train,BA
401,f50e1353-2b55-4e8b-8ca7-469c18d06f57,eosinophil,train,EO
402,2e2a4d6b-08bb-48f9-925e-31bf546b2e44,basophil,train,BA
403,29b8874b-2681-4581-9317-e22dfc18749a,eosinophil,train,EO
407,a2ceb784-cf25-4e19-a201-00bc079dae8d,basophil,train,BA
412,4fef14d0-be3d-4460-87f9-ea827b7a7739,basophil,train,BA
413,6e149783-b4fb-473b-b00c-1910b2750000,eosinophil,train,EO
414,51b6c63f-fdd2-4f6f-b225-dea792c88a9f,eosinophil,train,EO
415,6aa0457a-fd73-4149-8c7a-fa23f857f7e9,monocyte,train,MO
417,b8a6c818-747a-4aa3-9050-d605a3eeae19,eosinophil,train,EO
421,2e587903-9142-4acc-a496-6f1aaa198f4f,eosinophil,train,EO
422,6ff9e98b-f9a7-49f0-a387-ef7e63325462,eosinophil,train,EO
423,1852e2e5-7930-42c4-88ad-41cdfe58ef45,eosinophil,train,EO
425,95a44666-8377-49cd-a699-c7a2cf815d1c,monocyte,train,MO
426,cfb46435-83b9-4189-be8f-02fa8210bea7,eosinophil,train,EO
428,2a9642dd-3a33-4d85-8894-750512299330,monocyte,train,MO
429,1c351216-84a8-4033-8385-91858348d76e,eosinophil,train,EO
433,7f20b9ec-5a6f-4089-a8b6-51d49ebbb8b1,eosinophil,train,EO
435,2a1677b8-b80b-4083-8e2d-a90066583267,eosinophil,train,EO
436,becb804c-a2ed-401b-8bb2-e4c1fa3de5ff,eosinophil,train,EO
438,52ff6b62-bc14-49cd-b39c-f6a6089f1281,monocyte,train,MO
444,b620bed3-408c-4216-998a-a19b7e805921,monocyte,train,MO
450,483cadce-b6e9-49c3-961d-985c80fe1c5b,eosinophil,train,EO
453,9fe590c7-0bd2-4743-ac90-518644734765,eosinophil,train,EO
455,7968dbec-2651-47d4-9a78-a1cc5b2d6022,eosinophil,train,EO
461,208c0e54-53dc-4934-98fe-30573d90b594,eosinophil,train,EO
463,057c49da-67e2-4a88-9fb7-ff1cd0d788a2,eosinophil,train,EO
464,52b49b02-d2df-4f39-a513-d8a0f2854103,basophil,train,BA
469,5172a841-7c69-4389-b42a-6b5d1303e387,monocyte,train,MO
480,c2109f1b-e361-408b-8285-48d408bb6fdd,basophil,train,BA
482,4ab682c5-0fbb-4766-a56f-3c1a07d37044,eosinophil,train,EO
488,e45f5a81-37e5-4182-9b27-53325c2fb388,eosinophil,train,EO
490,205d42f3-fff0-4cbe-9669-b78135126179,eosinophil,train,EO
493,467c3325-c8e5-4ccf-b008-28806d07ed2e,eosinophil,train,EO
498,c5c6dad2-e97f-4fff-a217-3412a0dbe7d4,eosinophil,train,EO
501,7946b781-bd15-4891-8546-f71f25c4e96d,monocyte,train,MO
509,6e2f65bb-820b-47e4-9efa-553c207ae1a2,eosinophil,train,EO
515,20eeeae1-9a89-40da-b3cd-02305299a463,eosinophil,train,EO
522,b81e49f1-2afd-4063-90f8-6f230533fa4e,eosinophil,train,EO
524,fb0c9c12-fd58-42ab-ae32-a4059c3c586c,monocyte,train,MO
525,26966ef2-d384-4c10-8077-2711db2fca2c,monocyte,train,MO
536,51a1c15f-6b3d-4a97-9b4f-0fa25948d0d1,monocyte,train,MO
539,fe0d5316-b19b-4d2c-8078-0b978eef5737,monocyte,train,MO
541,a623e418-c766-4530-a453-a41213c9d228,basophil,train,BA
546,f331988c-e5b4-4c67-abaa-c6caa9a37b9a,eosinophil,train,EO
547,302a7b29-c6b2-4a54-853b-ad6878073012,eosinophil,train,EO
553,1d3d3b77-0672-4030-9bd1-e16f497c0baf,basophil,train,BA
554,107f41d1-a8de-44a0-b76b-29515e0d8291,eosinophil,train,EO
562,ce71665e-b4df-4533-a2c0-55779ec030f1,monocyte,train,MO
563,0ee3d977-4e36-464a-b188-dc04d6f4d5e0,eosinophil,train,EO
565,b01c104e-602c-451f-a41c-120273f1b661,eosinophil,train,EO
569,041d70b6-97cb-4d48-8cd0-a8a9bfa1a524,eosinophil,train,EO
571,c85163eb-f127-4140-aef9-2d1366654b5e,eosinophil,train,EO
572,b1e3346b-2836-4d39-ad88-aaeec49d2fe8,eosinophil,train,EO
575,deaa92b2-898e-408e-a49d-5e05477bfe2e,eosinophil,train,EO
576,bb4bbbf6-d7e2-4192-be5f-104db1c5e9d9,eosinophil,train,EO
585,0bc7b592-941e-4420-9b0b-c16f0e55f4bd,monocyte,train,MO
590,b95425fa-5f2a-409a-8548-bfa09d0afeed,monocyte,train,MO
592,97afd058-58a4-44d2-be9d-18a0dbd74e98,basophil,train,BA
593,0e7ef8eb-8fd9-4725-9671-3297d8890538,basophil,train,BA
596,536cfdef-7fa5-4b25-9e76-9b60d1619c4c,basophil,train,BA
600,de6df510-42d0-479b-9e38-75e08d154598,monocyte,train,MO
605,e0091878-144d-479e-995e-4785e1bd792e,eosinophil,train,EO
606,a29eeffa-57ed-46da-8adf-3b11b92161d0,eosinophil,train,EO
607,a9989973-b5a3-4fd9-8469-39580471cb61,basophil,train,BA
609,6eaa4349-7ae6-4654-89b6-36beff03186b,eosinophil,train,EO
611,292ba9d2-243d-4315-928d-a58cfa5ad304,monocyte,train,MO
613,5bf604ce-992b-4146-95e9-58509c803cfd,eosinophil,train,EO
618,4765c3f4-42d3-4249-b1d2-467e79bc809c,basophil,train,BA
627,1bee2aa0-35c8-4926-9b45-c7885bc004b5,eosinophil,train,EO
631,aa89ef33-e55a-4813-abc9-ca33e3460daf,monocyte,train,MO
632,c03a01f7-babb-47a4-8f2d-606cecc40280,monocyte,train,MO
636,fe97a5f0-0310-42c2-9caf-20b318836f70,eosinophil,train,EO
639,fcae8af5-aca5-41e5-9af5-cc2536523dc9,eosinophil,train,EO
644,b579aeb2-d22f-46d6-b61e-ad647b489f66,eosinophil,train,EO
645,443f9264-f8fb-46fc-959c-a656db7f1911,eosinophil,train,EO
646,a8db6235-63a9-4d35-ad9f-bf5317660fb2,eosinophil,train,EO
650,4430d723-cf76-4ce5-b38e-ec1592661d77,eosinophil,train,EO
652,466c869a-b132-4d96-a5ec-64adc25e9be2,eosinophil,train,EO
657,d2baea43-6094-4011-bbd6-9aaf3f46f1f0,monocyte,train,MO
659,5d959c85-4b74-4242-b578-9cbbf2326754,eosinophil,train,EO
662,ba2478a0-f3df-4704-b128-ba0f28105152,eosinophil,train,EO
664,a64f6727-8e2f-40a9-a315-2e067f9e96e1,eosinophil,train,EO
669,890da9ca-e57b-40c7-b870-e330a571c81a,basophil,train,BA
671,32900bf0-e33b-4829-a39a-85a6fb1ded8c,eosinophil,train,EO
674,750e3965-06fa-4216-b13d-8a1fc3c48f6d,monocyte,train,MO
678,0b054620-5328-428c-9b96-44015fc42cf1,monocyte,train,MO
683,93344b8e-3c45-4d6b-a107-a449b1116b4e,eosinophil,train,EO
685,1ce360bf-3076-457b-9ecc-d65091b6091f,monocyte,train,MO
687,5afa2b5c-fd89-48c8-8661-18cc0c9eceb1,eosinophil,train,EO
688,4776eb78-da45-4834-ac52-9f6eaec2b5d8,eosinophil,train,EO
689,875f48cc-11ac-45c7-a6fc-5b89912bae33,eosinophil,train,EO
690,6b0d4737-8933-419e-bc05-04a4804c51a1,monocyte,train,MO
701,81d85452-3544-48fa-b16d-4faf31629138,eosinophil,train,EO
702,492c11e5-1199-47f0-aac5-addd9317f436,basophil,train,BA
704,67935b7f-f4fb-47a2-8adc-ca7f8dabd47a,basophil,train,BA
705,a33f9c53-26ac-40d8-8b59-b410aff1e7bf,eosinophil,train,EO
711,518cbd20-698b-477f-a745-e82e5b7c9369,basophil,train,BA
715,52fe2552-fed9-419f-93f2-8dcc57e6bdf0,basophil,train,BA
717,f06fa089-ba5e-471f-9cf5-ffb6be12ebf0,monocyte,train,MO
721,6a86d015-7f13-4f9b-8f41-b8070df7f771,basophil,train,BA
725,a47f5499-b313-4bed-8921-bced69dee672,basophil,train,BA
731,ccfee9d7-7b8e-47dc-997b-0e5e060e28b8,eosinophil,train,EO
733,0148a70c-db05-4cc5-938f-15ee4d7d46b2,eosinophil,train,EO
735,b839c578-581f-4fc8-a8ce-0f66985fdff0,monocyte,train,MO
737,4ff0f24b-881f-4fff-aa32-a19422a69286,monocyte,train,MO
744,5305f172-1500-4e45-bbc9-60e872bdd7b8,monocyte,train,MO
754,1fea2ba3-0e99-43fe-a812-650b4ce74d84,basophil,train,BA
764,deee5135-b917-42ff-8eb5-d156a0ce8cd6,eosinophil,train,EO
769,61c1542f-07a8-4859-ada4-1de805cc0140,monocyte,train,MO
774,90b75283-7638-4825-931b-d9b30cee0169,eosinophil,train,EO
776,6368555d-5f90-40e5-8d44-adb9e23d61c3,eosinophil,train,EO
777,c42cc92d-85ab-4b52-83ef-71500e1f51f0,monocyte,train,MO
779,f987046c-eb53-422e-9d97-4af78ec1106d,basophil,train,BA
781,bc9b7590-d3c1-4ba2-bea8-5608d586e5d1,monocyte,train,MO
783,ef428466-9cd9-43f3-8dad-84896ef1b6ba,eosinophil,train,EO
784,1cc0ea15-8e3a-4f1c-8ddb-3ff7d459b3f1,basophil,train,BA
785,1ff57766-2ac9-4cd7-a198-3fe8dfe048e9,monocyte,train,MO
787,7109a376-20be-40a5-b3cf-32f27e67f8c4,basophil,train,BA
791,f00bd26b-95fa-44ba-91dd-041956d7b047,monocyte,train,MO
792,aa11030f-175b-4ff7-befa-135c75369a4c,basophil,train,BA
795,3e465fce-15c3-4799-8e95-bcc83d7782aa,eosinophil,train,EO
796,00665abe-1861-4be5-af9e-7ae92c07124f,eosinophil,train,EO
798,0e4224be-6ace-4969-8951-d882f5cf0e00,eosinophil,train,EO
803,6fa6c8e0-50b3-4fd2-9ee5-966ac03ca993,basophil,train,BA
805,5c8b7725-2028-4f00-9778-50cdc9c1cc0b,eosinophil,train,EO
807,db7f4d9e-c7a1-42f1-a0ad-96679faef25f,eosinophil,train,EO
808,e3100f0d-dbff-4793-9df9-334568d0d36b,basophil,train,BA
812,5bf18c5b-01eb-4b21-95bd-ebff695e5a79,eosinophil,train,EO
815,0313b35c-30c2-4cf8-a3df-d2c7582e3352,eosinophil,train,EO
820,80045cf5-36e9-4746-bd61-57d820df706f,monocyte,train,MO
821,5018d4ab-4566-458d-9119-1b0f84af128b,eosinophil,train,EO
827,f56c254b-03e3-4ae2-83ae-127c0ecb297c,eosinophil,train,EO
828,2cab43e7-8106-4712-909c-75f8e95fab99,eosinophil,train,EO
829,8488b9de-e3db-46ad-b74b-2b6d19ffc18f,eosinophil,train,EO
831,ebc6e2a7-69bd-42c1-8cd0-8ddfa35658fc,basophil,train,BA
835,3555e593-c357-42dd-aa7e-cce07561689b,monocyte,train,MO
842,5a158b40-fb2b-498d-a29b-766a75569377,basophil,train,BA
843,debf949d-af50-455d-86da-482411305f0f,basophil,train,BA
851,90ec422d-0141-42d6-b76a-1efdc9a211f4,basophil,train,BA
853,e69578a5-f485-42fb-b11c-b1a0b55468a0,eosinophil,train,EO
854,518f3fc3-d563-45a2-8cae-987bbee87594,basophil,train,BA
858,fd560392-8eb2-4e10-9140-ad06c2296f6a,eosinophil,train,EO
862,a29d2365-6a07-4f64-ad5f-913ce39093a5,eosinophil,train,EO
866,71a37603-41ab-4b81-a662-e44aa0cddc11,eosinophil,train,EO
869,a9cb8532-31b6-4fec-9cb5-d388f46cc1a5,basophil,train,BA
871,87fe627a-9cab-4b78-b009-1c6f05ad577a,eosinophil,train,EO
873,3ef38b3b-3cb3-49d8-bf4c-92df6e0d5321,eosinophil,train,EO
876,b2cdd54e-043a-4eef-8c61-cb17ac8bb995,eosinophil,train,EO
877,f79e9b80-03f5-4377-b48a-b52258450649,monocyte,train,MO
878,b9fe6576-3a93-4480-95ea-726284715a3f,monocyte,train,MO
879,a6941ef7-d07b-44c6-8862-91d6b4e1e6e8,eosinophil,train,EO
881,fa7cd1ee-f5a0-4fc2-bf52-15d88bc759e7,monocyte,train,MO
885,3656373c-55ca-4b1d-ae67-4a1b20261c6b,monocyte,train,MO
888,793104ef-21a1-4e74-b58b-e48fe2f6a5e4,eosinophil,train,EO
889,9e59199b-ee4b-421d-a332-6a8ecc0270aa,eosinophil,train,EO
900,f5b2745b-591e-48bf-b78c-f8018033c3ab,monocyte,train,MO
902,b08f2d90-3a4d-4149-9d0c-a90988f85b88,monocyte,train,MO
903,6343180a-011a-4d59-a8b5-8f4d8c022868,eosinophil,train,EO
907,d4317c10-4fec-4422-aa03-577978822765,monocyte,train,MO
910,df43a578-8785-4d12-96a6-f0376402901c,eosinophil,train,EO
911,9b362983-a342-4a81-b737-c3e148a45f93,basophil,train,BA
916,b6377dba-4a1e-4943-95eb-74ad1f445759,basophil,train,BA
919,b202c7d0-be0f-4836-a548-cf806572b441,monocyte,train,MO
920,b67656d6-258c-4e49-b7b9-43098510909d,eosinophil,train,EO
922,a62d019b-2d0f-4c79-905e-4af3a0434fd2,eosinophil,train,EO
924,d1809910-c31d-4c7f-87d9-72bb6f315dc4,monocyte,train,MO
933,f56ae75e-9e12-4464-bdfd-df9889382823,monocyte,train,MO
934,4f748d87-383a-48c7-8c55-c9397885344c,monocyte,train,MO
936,64d4b0d0-5aca-45fa-bd65-9f36717a82ec,eosinophil,train,EO
941,62612a74-d09f-461b-8a24-b44d3eead9cf,eosinophil,train,EO
944,8fd90382-98fe-44df-a4f3-35500c295849,eosinophil,train,EO
946,16b95903-dc29-4959-b5d2-b3e31f29fbec,eosinophil,train,EO
947,eea21668-0a1b-4e23-a19f-c5940e604c55,monocyte,train,MO
950,c4489f4e-9199-4e10-8083-8a9fc2db749c,eosinophil,train,EO
954,7ac36637-bd5f-41c7-9d89-2dfae3ad55ed,monocyte,train,MO
958,601f88bc-d44b-4208-960c-d9fe1ad71ca5,monocyte,train,MO
960,188d1bd7-1cbd-4c30-8ccf-4cd72f5c9887,monocyte,train,MO
961,5954fe03-e96b-486c-8764-fde5469bd205,eosinophil,train,EO
964,83f4d974-0eaf-4be4-9105-9e0529cb419b,monocyte,train,MO
966,8f032735-28d3-45b6-abc1-f17ba8a4b0b9,eosinophil,train,EO
971,4e5f8ea1-f836-472c-94ec-632f3f425453,basophil,train,BA
972,fbd0b860-7894-424f-bd57-cb8b4051d927,eosinophil,train,EO
974,3f4fb970-f8bc-4a9d-93a4-7d7ed2efcb5b,eosinophil,train,EO
976,36dd299b-3671-4b50-b422-4914242228a5,eosinophil,train,EO
978,01a9a4a4-681f-486f-9154-3fe747b20849,eosinophil,train,EO
979,1a5b6530-1948-4e20-baa4-655ac3dc0825,eosinophil,train,EO
981,ded0d796-4926-49d5-a2b8-8d76a32cccbb,basophil,train,BA
984,9c591a63-3640-478f-91da-998be2d31ffb,basophil,train,BA
986,aad8a113-0d41-48bc-b533-3df06e8f0953,basophil,train,BA
988,e458cc5e-ffab-4438-a6c5-bc17036da6ec,eosinophil,train,EO
989,3b1cf4f8-9a41-42fa-ac0c-ccc6e6fe100b,monocyte,train,MO
990,edd77bbe-731b-491e-8ee8-0102663f3e99,eosinophil,train,EO
993,50cdef16-a682-4718-9971-1e595cc0e94c,eosinophil,train,EO
995,ac888172-47a2-4e3e-8a2f-a8d44858f658,eosinophil,train,EO
997,944190e4-8af4-43fb-92cd-0fb5e6cecb0f,monocyte,train,MO
998,cb6d6fc9-6477-4497-92eb-0fd011edb5dc,eosinophil,train,EO
1001,075a18f2-d5e5-4aa5-abf7-972482b7e541,eosinophil,train,EO
1003,9b351237-8561-43f4-a291-334d4ad4e9f5,basophil,train,BA
1008,7478c8be-bad0-40d7-aa29-63da7c5873e9,eosinophil,train,EO
1010,2962d329-acbe-4c65-bcf4-c7eb91482c6f,eosinophil,train,EO
1012,aec4a57a-7f0d-4bda-a4fc-4031113caf92,eosinophil,train,EO
1014,8d9ec6b0-a3ec-45c9-a96d-ad45b07d27ff,basophil,train,BA
1018,1416f6b2-bd65-43b4-a691-cf67abe60681,eosinophil,train,EO
1028,839be530-b1a2-47ca-b2c5-68740051829b,eosinophil,train,EO
1031,25fad309-31ec-4e92-8785-8f54b1657cd1,basophil,train,BA
1036,ae0a5d7d-91ba-4669-8e1f-d952f8929c8e,monocyte,train,MO
1042,9445724c-7d76-4a47-9f2d-70849c920d83,eosinophil,train,EO
1045,dc8a5d6b-ea8b-4c70-819f-f2ed659f95c5,eosinophil,train,EO
1046,fc48cda2-a406-4d02-b8b8-e80037e47968,eosinophil,train,EO
